,neuron_type,n,loss,val_loss
340,gelu,4,0.003990924917161465,0.00426133070141077
341,silu,4,0.003617469687014818,0.0036473076324909925
342,tanh,4,0.003160584717988968,0.00365934194996953
343,gelu,4,0.0035313277039676905,0.003724646056070924
344,silu,4,0.0030925569590181112,0.0030495210085064173
345,tanh,4,0.04110913723707199,0.0388626791536808
346,gelu,4,0.0032375375740230083,0.0033840686082839966
347,silu,4,0.002691479865461588,0.002792844083160162
348,tanh,4,0.002882352564483881,0.0030812309123575687
349,gelu,4,0.004474551882594824,0.004790478851646185
350,silu,4,0.0033547852654010057,0.003486898262053728
351,tanh,4,0.0031177152413874865,0.003787422552704811
352,gelu,4,0.004904457367956638,0.005108211189508438
353,silu,4,0.003497634781524539,0.0035017444752156734
354,tanh,4,0.003584277117624879,0.004126586485654116
355,gelu,4,0.0038796481676399708,0.0034329441841691732
356,silu,4,0.002654446754604578,0.0025890315882861614
357,tanh,4,0.002973629394546151,0.0032187115866690874
358,gelu,4,0.003936406224966049,0.004066005349159241
359,silu,4,0.003634883090853691,0.0036565682385116816
360,tanh,5,0.0024952252861112356,0.002733266679570079
361,gelu,5,0.0037352752406150103,0.0037518301978707314
362,silu,5,0.003537394804880023,0.003319151932373643
363,tanh,5,0.002984676044434309,0.0033902900759130716
364,gelu,5,0.004059179220348597,0.004744561389088631
365,silu,5,0.004972765687853098,0.00546988332644105
366,tanh,5,0.003087058663368225,0.0034577299375087023
367,gelu,5,0.0030271424911916256,0.0033164385240525007
368,silu,5,0.004171850625425577,0.004332998301833868
369,tanh,5,0.003368370234966278,0.003744012676179409
370,gelu,5,0.003430454060435295,0.0035608361940830946
371,silu,5,0.0035376306623220444,0.003511059796437621
372,tanh,5,0.0031625893898308277,0.003381037386134267
373,gelu,5,0.003338046371936798,0.003672489430755377
374,silu,5,0.003336162306368351,0.0035253928508609533
375,tanh,5,0.0030723174568265676,0.0034624573308974504
376,gelu,5,0.0034934664145112038,0.004088138695806265
377,silu,5,0.004497872199863195,0.004472658969461918
378,tanh,5,0.0028981466311961412,0.0031825441401451826
379,gelu,5,0.0031293476931750774,0.003462946740910411
380,silu,5,0.003720673965290189,0.0041300407610833645
381,tanh,5,0.003079292131587863,0.003397479420527816
382,gelu,5,0.0029534606728702784,0.003352064872160554
383,silu,5,0.002579511608928442,0.0027411687187850475
384,tanh,5,0.0030715474858880043,0.0035251339431852102
385,gelu,5,0.002103998325765133,0.00204395386390388
386,silu,5,0.0037755658850073814,0.003935158718377352
387,tanh,5,0.0029524709098041058,0.003262790385633707
388,gelu,5,0.002984614809975028,0.00307444971986115
389,silu,5,0.003011678345501423,0.003085898468270898
390,tanh,5,0.0030749577563256025,0.0033567326609045267
391,gelu,5,0.0037833903916180134,0.004263921175152063
392,silu,5,0.004162823781371117,0.004275577608495951
393,tanh,5,0.003079389687627554,0.00307689537294209
394,gelu,5,0.003736531361937523,0.0037366747856140137
395,silu,5,0.004997943062335253,0.005192028358578682
396,tanh,5,0.011663024313747883,0.010973667725920677
397,gelu,5,0.004255106672644615,0.004468852188438177
398,silu,5,0.0033904029987752438,0.0034006063360720873
399,tanh,5,0.003199185710400343,0.003221869468688965
400,gelu,5,0.004799803253263235,0.005377754103392363
401,silu,5,0.0039020327385514975,0.003918270114809275
402,tanh,5,0.003516098018735647,0.0038776302244514227
403,gelu,5,0.0031783331651240587,0.0032714041881263256
404,silu,5,0.0034794025123119354,0.0038086283020675182
405,tanh,5,0.0036814578343182802,0.0041088322177529335
406,gelu,5,0.002306973794475198,0.002369285561144352
407,silu,5,0.0033989297226071358,0.003501400351524353
408,tanh,5,0.003444195259362459,0.003944930620491505
409,gelu,5,0.0030729291029274464,0.0031633065082132816
410,silu,5,0.003215538104996085,0.003374270861968398
411,tanh,5,0.0033351927995681763,0.003505556145682931
412,gelu,5,0.0040972293354570866,0.004262096248567104
413,silu,5,0.0035056457854807377,0.00392213836312294
414,tanh,5,0.0029181428253650665,0.0032165467273443937
415,gelu,5,0.0029630628414452076,0.002864403650164604
416,silu,5,0.004047359339892864,0.004133419133722782
417,tanh,5,0.0027377016376703978,0.0030272933654487133
418,gelu,5,0.0031147166155278683,0.003349598031491041
419,silu,5,0.0034804618917405605,0.003547325264662504
420,tanh,5,0.002431665314361453,0.002558247186243534
421,gelu,5,0.004671510308980942,0.005000220611691475
422,silu,5,0.003403212409466505,0.0035738972947001457
423,tanh,5,0.002715255133807659,0.003158802632242441
424,gelu,5,0.004170388448983431,0.004413601476699114
425,silu,5,0.003550230758264661,0.0037967367097735405
426,tanh,5,0.0029421127401292324,0.0031447496730834246
427,gelu,5,0.003974440041929483,0.00446908175945282
428,silu,5,0.0036764012183994055,0.0038532488979399204
429,tanh,5,0.0034715458750724792,0.003817033488303423
430,gelu,5,0.0035208500921726227,0.0035872182343155146
431,silu,5,0.0037841282319277525,0.00391834881156683
432,tanh,5,0.0033643993083387613,0.0035682779271155596
433,gelu,5,0.0038189159240573645,0.003836287185549736
434,silu,5,0.003365078242495656,0.0035976311191916466
435,tanh,5,0.0030753021128475666,0.0036453516222536564
436,gelu,5,0.003578595584258437,0.00373154622502625
437,silu,5,0.004014186095446348,0.004105019848793745
438,tanh,5,0.0032569800969213247,0.0038238742854446173
439,gelu,5,0.0037996487226337194,0.0038684061728417873
440,silu,5,0.003154599107801914,0.003248329972848296
441,tanh,5,0.0029560797847807407,0.0031717303209006786
442,gelu,5,0.00301629351451993,0.003182013286277652
443,silu,5,0.004187920596450567,0.004357182886451483
444,tanh,5,0.0029314160346984863,0.0028879253659397364
445,gelu,5,0.003502112114802003,0.0037076266016811132
446,silu,5,0.00327250175178051,0.003398811211809516
447,tanh,5,0.0033565848134458065,0.0035651668440550566
448,gelu,5,0.003722170600667596,0.00402201060205698
449,silu,5,0.0039041738491505384,0.004240683279931545
450,tanh,5,0.003369029611349106,0.003786396933719516
451,gelu,5,0.00398274278268218,0.003974956460297108
452,silu,5,0.002630769507959485,0.0027930401265621185
453,tanh,5,0.003116670995950699,0.003263605758547783
454,gelu,5,0.0031792891677469015,0.003209484275430441
455,silu,5,0.0048028347082436085,0.004858900792896748
456,tanh,5,0.004142013844102621,0.004277764353901148
457,gelu,5,0.0029563275165855885,0.003287677885964513
458,silu,5,0.0033456648234277964,0.003391427453607321
459,tanh,5,0.0032105890568345785,0.0032019452191889286
460,gelu,5,0.004546946845948696,0.0046055796556174755
461,silu,5,0.004148415755480528,0.004512415267527103
462,tanh,5,0.003130670404061675,0.0034198968205600977
463,gelu,5,0.0027494425885379314,0.0025419469457119703
464,silu,5,0.002994291950017214,0.0029783023055642843
465,tanh,5,0.00293744751252234,0.003095536958426237
466,gelu,5,0.0039855195209383965,0.0041265240870416164
467,silu,5,0.0029917252250015736,0.0031639114022254944
468,tanh,5,0.002994632115587592,0.0030582905746996403
469,gelu,5,0.003438379615545273,0.004030113574117422
470,silu,5,0.003529240610077977,0.003813761053606868
471,tanh,5,0.003109810408204794,0.003508451394736767
472,gelu,5,0.002345697721466422,0.0021417431998997927
473,silu,5,0.003713523969054222,0.004059944301843643
474,tanh,5,0.003160767490044236,0.0034498916938900948
475,gelu,5,0.0037413740064948797,0.0038162674754858017
476,silu,5,0.004120403900742531,0.0043918779119849205
477,tanh,5,0.0026396887842565775,0.002735137939453125
478,gelu,5,0.0027387423906475306,0.002722612116485834
479,silu,5,0.0038693060632795095,0.004062211140990257
480,tanh,6,0.0031537374015897512,0.0032921149395406246
481,gelu,6,0.003889461513608694,0.0043006944470107555
482,silu,6,0.002901813481003046,0.003143532434478402
483,tanh,6,0.0034084864892065525,0.0035784400533884764
484,gelu,6,0.0036930821370333433,0.004035286605358124
485,silu,6,0.003726853057742119,0.0037158802151679993
486,tanh,6,0.0030793219339102507,0.0035013852175325155
487,gelu,6,0.0029980377294123173,0.003119120607152581
488,silu,6,0.0035449641291052103,0.003928321413695812
489,tanh,6,0.0026624752208590508,0.002879425883293152
490,gelu,6,0.003368010278791189,0.0033038812689483166
491,silu,6,0.0035519851371645927,0.003765323432162404
492,tanh,6,0.003153017023578286,0.0032158747781068087
493,gelu,6,0.004244678653776646,0.004554009065032005
494,silu,6,0.0035068239085376263,0.003676118329167366
495,tanh,6,0.0028161313384771347,0.0029827968683093786
496,gelu,6,0.004538931418210268,0.0052716415375471115
497,silu,6,0.0037018542643636465,0.004233485087752342
498,tanh,6,0.0024654786102473736,0.0026172539219260216
499,gelu,6,0.0036595209967345,0.0037045059725642204
